Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0603_1608Metric_HandSolder",147.297638,-74.790323,90.000000,top
"C2","1u","C_0603_1608Metric_HandSolder",176.847638,-74.968073,90.000000,top
"C3","1u","C_0603_1608Metric_HandSolder",177.051638,-109.317323,0.000000,top
"C4","1u","C_0603_1608Metric_HandSolder",161.734638,-113.733323,-90.000000,top
"C5","1u","C_0603_1608Metric_HandSolder",120.332638,-116.446323,180.000000,top
"C6","10n","C_0603_1608Metric_HandSolder",136.080638,-65.138323,180.000000,top
"C7","10n","C_0603_1608Metric_HandSolder",166.763888,-65.189073,180.000000,top
"C8","10n","C_0603_1608Metric_HandSolder",186.830638,-97.760323,90.000000,top
"C9","10n","C_0603_1608Metric_HandSolder",173.291638,-124.020323,0.000000,top
"C10","100n","C_0603_1608Metric_HandSolder",132.397638,-68.186323,90.000000,top
"C11","100n","C_0603_1608Metric_HandSolder",163.080888,-68.110073,-90.000000,top
"C12","100n","C_0603_1608Metric_HandSolder",185.610638,-93.967323,0.000000,top
"C13","100n","C_0603_1608Metric_HandSolder",176.974638,-120.972323,90.000000,top
"C14","10n","C_0603_1608Metric_HandSolder",156.400638,-65.138323,0.000000,top
"C15","10n","C_0603_1608Metric_HandSolder",187.210888,-65.443073,0.000000,top
"C16","10n","C_0603_1608Metric_HandSolder",186.830638,-118.080323,-90.000000,top
"C17","100n","C_0603_1608Metric_HandSolder",161.226638,-68.059323,-90.000000,top
"C18","100n","C_0603_1608Metric_HandSolder",191.020888,-65.443073,0.000000,top
"C19","100n","C_0603_1608Metric_HandSolder",186.830638,-121.890323,-90.000000,top
"C20","100n","C_0603_1608Metric_HandSolder",130.492638,-114.287323,90.000000,top
"C21","100n","C_0603_1608Metric_HandSolder",136.588638,-119.113323,0.000000,top
"C22","10n","C_0603_1608Metric_HandSolder",129.730638,-117.335323,0.000000,top
"C23","10n","C_0603_1608Metric_HandSolder",127.571638,-113.906323,180.000000,top
"C24","10n","C_0603_1608Metric_HandSolder",134.810638,-120.764323,0.000000,top
"C25","10n","C_0603_1608Metric_HandSolder",138.366638,-120.764323,180.000000,top
"C26","1u","C_0603_1608Metric_HandSolder",132.397638,-116.319323,90.000000,top
"C27","100n","C_0603_1608Metric_HandSolder",135.064638,-110.223323,0.000000,top
"C28","100n","C_0603_1608Metric_HandSolder",142.837038,-118.960923,-90.000000,top
"C29","100n","C_0603_1608Metric_HandSolder",154.241638,-113.017323,90.000000,top
"C30","100n","C_0603_1608Metric_HandSolder",148.004638,-119.113323,180.000000,top
"C31","10n","C_0603_1608Metric_HandSolder",154.622638,-117.589323,180.000000,top
"C32","10n","C_0603_1608Metric_HandSolder",157.557638,-112.128323,0.000000,top
"C33","10n","C_0603_1608Metric_HandSolder",149.782638,-120.764323,180.000000,top
"C34","10n","C_0603_1608Metric_HandSolder",146.226638,-120.764323,0.000000,top
"C35","1u","C_0603_1608Metric_HandSolder",152.463638,-110.731323,-90.000000,top
"C36","100n","C_0603_1608Metric_HandSolder",150.685638,-118.097323,-90.000000,top
"C37","100n","C_0603_1608Metric_HandSolder",145.478638,-108.318323,0.000000,top
"C38","100n","C_0603_1608Metric_HandSolder",114.490638,-113.017323,90.000000,top
"C39","100n","C_0603_1608Metric_HandSolder",106.616638,-118.986323,180.000000,top
"C40","10n","C_0603_1608Metric_HandSolder",113.220638,-117.335323,180.000000,top
"C41","10n","C_0603_1608Metric_HandSolder",117.284638,-112.128323,0.000000,top
"C42","10n","C_0603_1608Metric_HandSolder",108.521638,-120.764323,180.000000,top
"C43","10n","C_0603_1608Metric_HandSolder",104.838638,-120.764323,0.000000,top
"C44","1u","C_0603_1608Metric_HandSolder",112.712638,-110.477323,-90.000000,top
"C45","100n","C_0603_1608Metric_HandSolder",109.396638,-118.111323,-90.000000,top
"C46","100n","C_0603_1608Metric_HandSolder",101.884638,-110.985323,90.000000,top
"C47","10u","C_0603_1608Metric_HandSolder",109.156638,-70.853323,0.000000,top
"C48","10u","C_0603_1608Metric_HandSolder",106.489638,-69.964323,-90.000000,top
"C49","10u","C_0603_1608Metric_HandSolder",111.823638,-69.964323,90.000000,top
"C51","0.1u","C_0603_1608Metric_HandSolder",114.109638,-73.139323,180.000000,top
"C52","10u","C_0603_1608Metric_HandSolder",113.601638,-70.472323,-90.000000,top
"C54","10u","C_0603_1608Metric_HandSolder",116.849638,-87.981323,-90.000000,top
"C55","10u","C_0603_1608Metric_HandSolder",114.817638,-87.981323,-90.000000,top
"C56","0.1u","C_0603_1608Metric_HandSolder",107.070638,-85.060323,0.000000,top
"C57","0.1u","C_0603_1608Metric_HandSolder",107.070638,-83.282323,0.000000,top
"C58","0.1u","C_0603_1608Metric_HandSolder",107.070638,-81.504323,0.000000,top
"C59","1u","C_0603_1608Metric_HandSolder",179.514638,-85.331323,-90.000000,top
"C60","10n","C_0603_1608Metric_HandSolder",186.749638,-86.787823,-90.000000,top
"C61","100n","C_0603_1608Metric_HandSolder",185.610638,-91.935323,0.000000,top
"D1","BAT48JFILM","D_SOD-323",127.952638,-70.853323,0.000000,top
"J2","HL2","Molex_SL_171975-0004_1x04_P2.54mm_Horizontal",150.033638,-62.933323,0.000000,top
"J4","HL4","Molex_SL_171975-0004_1x04_P2.54mm_Horizontal",180.843888,-62.984073,0.000000,top
"J6","HL6","Molex_SL_171975-0004_1x04_P2.54mm_Horizontal",189.035638,-111.713323,-90.000000,top
"J9","uPC_RTD","Molex_SL_171975-0006_1x06_P2.54mm_Horizontal",159.194638,-126.144323,180.000000,top
"J10","DMS_RTD","Molex_SL_171975-0006_1x06_P2.54mm_Horizontal",117.789638,-126.144323,180.000000,top
"J11","SIGNAL1","Molex_Micro-Fit_3.0_43045-1400_2x07_P3.00mm_Horizontal",94.977638,-79.599323,90.000000,top
"J12","POWER","Molex_Micro-Fit_3.0_43045-0800_2x04_P3.00mm_Horizontal",95.104638,-127.042323,90.000000,top
"J13","TC_SAFETY","Molex_SL_171975-0002_1x02_P2.54mm_Horizontal",107.695638,-62.609323,0.000000,top
"J14","SIGNAL2","Molex_Micro-Fit_3.0_43045-1600_2x08_P3.00mm_Horizontal",95.061638,-109.547323,90.000000,top
"J15","HLX","Molex_SL_171975-0004_1x04_P2.54mm_Horizontal",188.908638,-80.471323,-90.000000,top
"K1","J107F1CS1212VDC.36","Relay_SPDT_SANYOU_SRD_Series_Form_C",122.618638,-67.923323,90.000000,top
"Q1","DMT6004LPS","PowerDI5060-8",142.848638,-68.000323,0.000000,top
"Q2","DMT6004LPS","PowerDI5060-8",173.621888,-68.234073,0.000000,top
"Q3","DMT6004LPS","PowerDI5060-8",183.714638,-104.401323,-90.000000,top
"Q4","DMT6004LPS","PowerDI5060-8",166.560638,-120.848323,180.000000,top
"Q5","DMT6004LPS","PowerDI5060-8",124.904638,-121.021323,180.000000,top
"Q6","DMT6004LPS","PowerDI5060-8",149.579638,-68.000323,0.000000,top
"Q7","DMT6004LPS","PowerDI5060-8",180.499888,-68.305073,0.000000,top
"Q8","DMT6004LPS","PowerDI5060-8",183.841638,-111.259323,-90.000000,top
"Q9","DMT6004LPS","PowerDI5060-8",159.575638,-120.848323,180.000000,top
"Q10","DMT6004LPS","PowerDI5060-8",118.173638,-121.021323,180.000000,top
"Q12","DMT6004LPS","PowerDI5060-8",183.887638,-79.966823,-90.000000,top
"R1","4.7k","R_0603_1608Metric",139.042638,-75.679323,-90.000000,top
"R2","4.7k","R_0603_1608Metric",168.592638,-75.984073,-90.000000,top
"R3","4.7k","R_0603_1608Metric",176.212638,-99.809323,0.000000,top
"R4","4.7k","R_0603_1608Metric",170.243638,-114.033323,-90.000000,top
"R5","4.7k","R_0603_1608Metric",125.285638,-110.731323,-90.000000,top
"R6","4.7k","R_0603_1608Metric",140.185638,-77.965323,180.000000,top
"R7","4.7k","R_0603_1608Metric",169.735638,-78.270073,180.000000,top
"R8","4.7k","R_0603_1608Metric",173.876638,-103.348323,90.000000,top
"R9","4.7k","R_0603_1608Metric",166.052638,-110.477323,180.000000,top
"R10","4.7k","R_0603_1608Metric",119.824638,-109.080323,-90.000000,top
"R11","100","R_0603_1608Metric",150.685638,-72.504323,180.000000,top
"R12","100","R_0603_1608Metric",181.622888,-72.809073,180.000000,top
"R13","100","R_0603_1608Metric",179.337638,-112.492323,90.000000,top
"R14","100","R_0603_1608Metric",158.432638,-116.319323,0.000000,top
"R15","100","R_0603_1608Metric",117.030638,-116.446323,0.000000,top
"R16","100","R_0603_1608Metric",143.954638,-72.504323,0.000000,top
"R17","100","R_0603_1608Metric",173.926638,-72.809073,0.000000,top
"R18","100","R_0603_1608Metric",179.210638,-105.507323,-90.000000,top
"R19","100","R_0603_1608Metric",165.417638,-116.273323,180.000000,top
"R20","100","R_0603_1608Metric",123.761638,-116.446323,180.000000,top
"R21","10k","R_0603_1608Metric",132.270638,-65.265323,0.000000,top
"R28","9.53k","R_0603_1608Metric",130.619638,-119.875323,-90.000000,top
"R29","9.53k","R_0603_1608Metric",127.698638,-112.255323,180.000000,top
"R30","10.5k","R_0603_1608Metric",135.699638,-123.177323,-90.000000,top
"R31","10.5k","R_0603_1608Metric",137.477638,-123.177323,-90.000000,top
"R32","10k","R_0603_1608Metric",132.524638,-112.509323,-90.000000,top
"R35","9.53k","R_0603_1608Metric",153.860638,-120.002323,-90.000000,top
"R36","9.53k","R_0603_1608Metric",157.416638,-110.477323,0.000000,top
"R37","10.5k","R_0603_1608Metric",148.893638,-123.177323,-90.000000,top
"R38","10.5k","R_0603_1608Metric",147.115638,-123.177323,-90.000000,top
"R39","10k","R_0603_1608Metric",152.463638,-115.176323,90.000000,top
"R42","9.53k","R_0603_1608Metric",112.458638,-119.748323,-90.000000,top
"R43","9.53k","R_0603_1608Metric",117.284638,-110.477323,0.000000,top
"R44","10.5k","R_0603_1608Metric",107.505638,-123.177323,-90.000000,top
"R45","10.5k","R_0603_1608Metric",105.854638,-123.177323,-90.000000,top
"R46","10k","R_0603_1608Metric",111.315638,-114.795323,90.000000,top
"R49","1M","R_0603_1608Metric",113.601638,-66.789323,90.000000,top
"R50","100","R_0603_1608Metric",109.991638,-67.026323,90.000000,top
"R51","100","R_0603_1608Metric",108.213638,-67.043323,-90.000000,top
"R52","9k","R_0603_1608Metric",117.103638,-79.218323,90.000000,top
"R53","1k","R_0603_1608Metric",117.103638,-75.662323,90.000000,top
"R56","4.7k","R_0603_1608Metric",173.926638,-90.665323,-90.000000,top
"R59","100","R_0603_1608Metric",179.337638,-81.123323,-90.000000,top
"RV1","10k","Potentiometer_Bourns_3296W_Vertical",121.602638,-77.594323,-90.000000,top
"RV2","10k","Potentiometer_Bourns_3296W_Vertical",120.322638,-88.887323,180.000000,top
"R_REF1","2k","R_0603_1608Metric",128.968638,-119.817623,90.000000,top
"R_REF2","2k","R_0603_1608Metric",155.511638,-120.002323,90.000000,top
"R_REF3","2k","R_0603_1608Metric",114.109638,-119.748323,90.000000,top
"U1","TC4427","MSOP-8_3x3mm_P0.65mm_TI",143.106638,-75.298323,0.000000,top
"U2","TC4427","MSOP-8_3x3mm_P0.65mm_TI",172.656638,-75.603073,0.000000,top
"U3","TC4427","MSOP-8_3x3mm_P0.65mm_TI",176.543638,-105.126323,-90.000000,top
"U4","TC4427","MSOP-8_3x3mm_P0.65mm_TI",165.925638,-113.225323,180.000000,top
"U5","TC4427","MSOP-8_3x3mm_P0.65mm_TI",122.618638,-110.858323,-90.000000,top
"U6","MAX31855","SO-8_Maxim",136.080638,-69.837323,-90.000000,top
"U7","MAX31855","SO-8_Maxim",166.763888,-69.888073,-90.000000,top
"U8","MAX31855","SO-8_Maxim",182.258638,-97.633323,180.000000,top
"U9","MAX31855","SO-8_Maxim",173.291638,-119.448323,90.000000,top
"U10","MAX31855","SO-8_Maxim",156.654638,-68.771323,180.000000,top
"U11","MAX31855","SO-8_Maxim",188.912638,-69.837323,180.000000,top
"U12","MAX31855","SO-8_Maxim",182.308638,-120.002323,90.000000,top
"U13","ADS1247","TSSOP-20_4.4x6.5mm_P0.65mm",137.223638,-114.668323,0.000000,top
"U14","ADS1247","TSSOP-20_4.4x6.5mm_P0.65mm",147.637638,-112.763323,180.000000,top
"U15","ADS1247","TSSOP-20_4.4x6.5mm_P0.65mm",106.616638,-112.763323,180.000000,top
"U16","AD8497","MSOP-8_3x3mm_P0.65mm",109.029638,-73.520323,0.000000,top
"U17","LMC6081","SOIC-8_3.9x4.9mm_P1.27mm",113.547638,-79.218323,-90.000000,top
"U18","LP2950-3.3_TO92","TO-92_Inline",111.082638,-84.823323,-90.000000,top
"U19","LMC6081","SOIC-8_3.9x4.9mm_P1.27mm",123.126638,-83.172323,0.000000,top
"U20","ADC121S021","SOT-23-6",106.749138,-78.771323,180.000000,top
"U21","TC4427","MSOP-8_3x3mm_P0.65mm_TI",176.797638,-85.949323,90.000000,top
"U22","MAX31855","SO-8_Maxim",183.147638,-87.219323,90.000000,top
"U23","NUD3124","SOT-23-6",126.682638,-74.155323,0.000000,top
